VCD info: dumpfile CLA.vcd opened for output.
time = 0, a = 0000, b = 0000, cin = 0, res = 0000, cout = 0
time = 53, a = 0101, b = 0011, cin = 0, res = 1000, cout = 0
time = 54, a = 0110, b = 0011, cin = 0, res = 1001, cout = 0
time = 55, a = 0111, b = 0011, cin = 0, res = 1010, cout = 0
time = 56, a = 1000, b = 0011, cin = 0, res = 1011, cout = 0
time = 57, a = 1001, b = 0011, cin = 0, res = 1100, cout = 0
time = 58, a = 1010, b = 0011, cin = 0, res = 1101, cout = 0
time = 59, a = 1011, b = 0011, cin = 0, res = 1110, cout = 0
time = 60, a = 1100, b = 0011, cin = 0, res = 1111, cout = 0
time = 61, a = 1101, b = 0011, cin = 0, res = 0000, cout = 1
time = 62, a = 1110, b = 0011, cin = 0, res = 0001, cout = 1
time = 63, a = 1111, b = 0011, cin = 0, res = 0010, cout = 1
time = 64, a = 0000, b = 0100, cin = 0, res = 0100, cout = 0
time = 65, a = 0001, b = 0100, cin = 0, res = 0101, cout = 0
time = 66, a = 0010, b = 0100, cin = 0, res = 0110, cout = 0
time = 67, a = 0011, b = 0100, cin = 0, res = 0111, cout = 0
time = 68, a = 0100, b = 0100, cin = 0, res = 1000, cout = 0
time = 69, a = 0101, b = 0100, cin = 0, res = 1001, cout = 0
time = 70, a = 0110, b = 0100, cin = 0, res = 1010, cout = 0
time = 71, a = 0111, b = 0100, cin = 0, res = 1011, cout = 0
time = 72, a = 1000, b = 0100, cin = 0, res = 1100, cout = 0
time = 73, a = 1001, b = 0100, cin = 0, res = 1101, cout = 0
time = 74, a = 1010, b = 0100, cin = 0, res = 1110, cout = 0
time = 75, a = 1011, b = 0100, cin = 0, res = 1111, cout = 0
time = 76, a = 1100, b = 0100, cin = 0, res = 0000, cout = 1
time = 77, a = 1101, b = 0100, cin = 0, res = 0001, cout = 1
time = 78, a = 1110, b = 0100, cin = 0, res = 0010, cout = 1
time = 79, a = 1111, b = 0100, cin = 0, res = 0011, cout = 1
time = 80, a = 0000, b = 0101, cin = 0, res = 0101, cout = 0
time = 81, a = 0001, b = 0101, cin = 0, res = 0110, cout = 0
time = 82, a = 0010, b = 0101, cin = 0, res = 0111, cout = 0
time = 83, a = 0011, b = 0101, cin = 0, res = 1000, cout = 0
time = 84, a = 0100, b = 0101, cin = 0, res = 1001, cout = 0
time = 85, a = 0101, b = 0101, cin = 0, res = 1010, cout = 0
time = 86, a = 0110, b = 0101, cin = 0, res = 1011, cout = 0
time = 87, a = 0111, b = 0101, cin = 0, res = 1100, cout = 0
time = 88, a = 1000, b = 0101, cin = 0, res = 1101, cout = 0
time = 89, a = 1001, b = 0101, cin = 0, res = 1110, cout = 0
time = 90, a = 1010, b = 0101, cin = 0, res = 1111, cout = 0
time = 91, a = 1011, b = 0101, cin = 0, res = 0000, cout = 1
time = 92, a = 1100, b = 0101, cin = 0, res = 0001, cout = 1
time = 93, a = 1101, b = 0101, cin = 0, res = 0010, cout = 1
time = 94, a = 1110, b = 0101, cin = 0, res = 0011, cout = 1
time = 95, a = 1111, b = 0101, cin = 0, res = 0100, cout = 1
time = 96, a = 0000, b = 0110, cin = 0, res = 0110, cout = 0
time = 97, a = 0001, b = 0110, cin = 0, res = 0111, cout = 0
time = 98, a = 0010, b = 0110, cin = 0, res = 1000, cout = 0
time = 99, a = 0011, b = 0110, cin = 0, res = 1001, cout = 0
time = 100, a = 0100, b = 0110, cin = 0, res = 1010, cout = 0
time = 101, a = 0101, b = 0110, cin = 0, res = 1011, cout = 0
time = 102, a = 0110, b = 0110, cin = 0, res = 1100, cout = 0
time = 103, a = 0111, b = 0110, cin = 0, res = 1101, cout = 0
time = 104, a = 1000, b = 0110, cin = 0, res = 1110, cout = 0
time = 105, a = 1001, b = 0110, cin = 0, res = 1111, cout = 0
time = 106, a = 1010, b = 0110, cin = 0, res = 0000, cout = 1
time = 107, a = 1011, b = 0110, cin = 0, res = 0001, cout = 1
time = 108, a = 1100, b = 0110, cin = 0, res = 0010, cout = 1
time = 109, a = 1101, b = 0110, cin = 0, res = 0011, cout = 1
time = 110, a = 1110, b = 0110, cin = 0, res = 0100, cout = 1
time = 111, a = 1111, b = 0110, cin = 0, res = 0101, cout = 1
time = 112, a = 0000, b = 0111, cin = 0, res = 0111, cout = 0
time = 113, a = 0001, b = 0111, cin = 0, res = 1000, cout = 0
time = 114, a = 0010, b = 0111, cin = 0, res = 1001, cout = 0
time = 115, a = 0011, b = 0111, cin = 0, res = 1010, cout = 0
time = 116, a = 0100, b = 0111, cin = 0, res = 1011, cout = 0
time = 117, a = 0101, b = 0111, cin = 0, res = 1100, cout = 0
time = 118, a = 0110, b = 0111, cin = 0, res = 1101, cout = 0
time = 119, a = 0111, b = 0111, cin = 0, res = 1110, cout = 0
time = 120, a = 1000, b = 0111, cin = 0, res = 1111, cout = 0
time = 121, a = 1001, b = 0111, cin = 0, res = 0000, cout = 1
time = 122, a = 1010, b = 0111, cin = 0, res = 0001, cout = 1
time = 123, a = 1011, b = 0111, cin = 0, res = 0010, cout = 1
time = 124, a = 1100, b = 0111, cin = 0, res = 0011, cout = 1
time = 125, a = 1101, b = 0111, cin = 0, res = 0100, cout = 1
time = 126, a = 1110, b = 0111, cin = 0, res = 0101, cout = 1
time = 127, a = 1111, b = 0111, cin = 0, res = 0110, cout = 1
time = 128, a = 0000, b = 1000, cin = 0, res = 1000, cout = 0
time = 129, a = 0001, b = 1000, cin = 0, res = 1001, cout = 0
time = 130, a = 0010, b = 1000, cin = 0, res = 1010, cout = 0
time = 131, a = 0011, b = 1000, cin = 0, res = 1011, cout = 0
time = 132, a = 0100, b = 1000, cin = 0, res = 1100, cout = 0
time = 133, a = 0101, b = 1000, cin = 0, res = 1101, cout = 0
time = 134, a = 0110, b = 1000, cin = 0, res = 1110, cout = 0
time = 135, a = 0111, b = 1000, cin = 0, res = 1111, cout = 0
time = 136, a = 1000, b = 1000, cin = 0, res = 0000, cout = 1
time = 137, a = 1001, b = 1000, cin = 0, res = 0001, cout = 1
time = 138, a = 1010, b = 1000, cin = 0, res = 0010, cout = 1
time = 139, a = 1011, b = 1000, cin = 0, res = 0011, cout = 1
time = 140, a = 1100, b = 1000, cin = 0, res = 0100, cout = 1
time = 141, a = 1101, b = 1000, cin = 0, res = 0101, cout = 1
time = 142, a = 1110, b = 1000, cin = 0, res = 0110, cout = 1
time = 143, a = 1111, b = 1000, cin = 0, res = 0111, cout = 1
time = 144, a = 0000, b = 1001, cin = 0, res = 1001, cout = 0
time = 145, a = 0001, b = 1001, cin = 0, res = 1010, cout = 0
time = 146, a = 0010, b = 1001, cin = 0, res = 1011, cout = 0
time = 147, a = 0011, b = 1001, cin = 0, res = 1100, cout = 0
time = 148, a = 0100, b = 1001, cin = 0, res = 1101, cout = 0
time = 149, a = 0101, b = 1001, cin = 0, res = 1110, cout = 0
time = 150, a = 0110, b = 1001, cin = 0, res = 1111, cout = 0
time = 151, a = 0111, b = 1001, cin = 0, res = 0000, cout = 1
time = 152, a = 1000, b = 1001, cin = 0, res = 0001, cout = 1
time = 153, a = 1001, b = 1001, cin = 0, res = 0010, cout = 1
time = 154, a = 1010, b = 1001, cin = 0, res = 0011, cout = 1
time = 155, a = 1011, b = 1001, cin = 0, res = 0100, cout = 1
time = 156, a = 1100, b = 1001, cin = 0, res = 0101, cout = 1
time = 157, a = 1101, b = 1001, cin = 0, res = 0110, cout = 1
time = 158, a = 1110, b = 1001, cin = 0, res = 0111, cout = 1
time = 159, a = 1111, b = 1001, cin = 0, res = 1000, cout = 1
time = 160, a = 0000, b = 1010, cin = 0, res = 1010, cout = 0
time = 161, a = 0001, b = 1010, cin = 0, res = 1011, cout = 0
time = 162, a = 0010, b = 1010, cin = 0, res = 1100, cout = 0
time = 163, a = 0011, b = 1010, cin = 0, res = 1101, cout = 0
time = 164, a = 0100, b = 1010, cin = 0, res = 1110, cout = 0
time = 165, a = 0101, b = 1010, cin = 0, res = 1111, cout = 0
time = 166, a = 0110, b = 1010, cin = 0, res = 0000, cout = 1
time = 167, a = 0111, b = 1010, cin = 0, res = 0001, cout = 1
time = 168, a = 1000, b = 1010, cin = 0, res = 0010, cout = 1
time = 169, a = 1001, b = 1010, cin = 0, res = 0011, cout = 1
time = 170, a = 1010, b = 1010, cin = 0, res = 0100, cout = 1
time = 171, a = 1011, b = 1010, cin = 0, res = 0101, cout = 1
time = 172, a = 1100, b = 1010, cin = 0, res = 0110, cout = 1
time = 173, a = 1101, b = 1010, cin = 0, res = 0111, cout = 1
time = 174, a = 1110, b = 1010, cin = 0, res = 1000, cout = 1
time = 175, a = 1111, b = 1010, cin = 0, res = 1001, cout = 1
time = 176, a = 0000, b = 1011, cin = 0, res = 1011, cout = 0
time = 177, a = 0001, b = 1011, cin = 0, res = 1100, cout = 0
time = 178, a = 0010, b = 1011, cin = 0, res = 1101, cout = 0
time = 179, a = 0011, b = 1011, cin = 0, res = 1110, cout = 0
time = 180, a = 0100, b = 1011, cin = 0, res = 1111, cout = 0
time = 181, a = 0101, b = 1011, cin = 0, res = 0000, cout = 1
time = 182, a = 0110, b = 1011, cin = 0, res = 0001, cout = 1
time = 183, a = 0111, b = 1011, cin = 0, res = 0010, cout = 1
time = 184, a = 1000, b = 1011, cin = 0, res = 0011, cout = 1
time = 185, a = 1001, b = 1011, cin = 0, res = 0100, cout = 1
time = 186, a = 1010, b = 1011, cin = 0, res = 0101, cout = 1
time = 187, a = 1011, b = 1011, cin = 0, res = 0110, cout = 1
time = 188, a = 1100, b = 1011, cin = 0, res = 0111, cout = 1
time = 189, a = 1101, b = 1011, cin = 0, res = 1000, cout = 1
time = 190, a = 1110, b = 1011, cin = 0, res = 1001, cout = 1
time = 191, a = 1111, b = 1011, cin = 0, res = 1010, cout = 1
time = 192, a = 0000, b = 1100, cin = 0, res = 1100, cout = 0
time = 193, a = 0001, b = 1100, cin = 0, res = 1101, cout = 0
time = 194, a = 0010, b = 1100, cin = 0, res = 1110, cout = 0
time = 195, a = 0011, b = 1100, cin = 0, res = 1111, cout = 0
time = 196, a = 0100, b = 1100, cin = 0, res = 0000, cout = 1
time = 197, a = 0101, b = 1100, cin = 0, res = 0001, cout = 1
time = 198, a = 0110, b = 1100, cin = 0, res = 0010, cout = 1
time = 199, a = 0111, b = 1100, cin = 0, res = 0011, cout = 1
time = 200, a = 1000, b = 1100, cin = 0, res = 0100, cout = 1
time = 201, a = 1001, b = 1100, cin = 0, res = 0101, cout = 1
time = 202, a = 1010, b = 1100, cin = 0, res = 0110, cout = 1
time = 203, a = 1011, b = 1100, cin = 0, res = 0111, cout = 1
time = 204, a = 1100, b = 1100, cin = 0, res = 1000, cout = 1
time = 205, a = 1101, b = 1100, cin = 0, res = 1001, cout = 1
time = 206, a = 1110, b = 1100, cin = 0, res = 1010, cout = 1
time = 207, a = 1111, b = 1100, cin = 0, res = 1011, cout = 1
time = 208, a = 0000, b = 1101, cin = 0, res = 1101, cout = 0
time = 209, a = 0001, b = 1101, cin = 0, res = 1110, cout = 0
time = 210, a = 0010, b = 1101, cin = 0, res = 1111, cout = 0
time = 211, a = 0011, b = 1101, cin = 0, res = 0000, cout = 1
time = 212, a = 0100, b = 1101, cin = 0, res = 0001, cout = 1
time = 213, a = 0101, b = 1101, cin = 0, res = 0010, cout = 1
time = 214, a = 0110, b = 1101, cin = 0, res = 0011, cout = 1
time = 215, a = 0111, b = 1101, cin = 0, res = 0100, cout = 1
time = 216, a = 1000, b = 1101, cin = 0, res = 0101, cout = 1
time = 217, a = 1001, b = 1101, cin = 0, res = 0110, cout = 1
time = 218, a = 1010, b = 1101, cin = 0, res = 0111, cout = 1
time = 219, a = 1011, b = 1101, cin = 0, res = 1000, cout = 1
time = 220, a = 1100, b = 1101, cin = 0, res = 1001, cout = 1
time = 221, a = 1101, b = 1101, cin = 0, res = 1010, cout = 1
time = 222, a = 1110, b = 1101, cin = 0, res = 1011, cout = 1
time = 223, a = 1111, b = 1101, cin = 0, res = 1100, cout = 1
time = 224, a = 0000, b = 1110, cin = 0, res = 1110, cout = 0
time = 225, a = 0001, b = 1110, cin = 0, res = 1111, cout = 0
time = 226, a = 0010, b = 1110, cin = 0, res = 0000, cout = 1
time = 227, a = 0011, b = 1110, cin = 0, res = 0001, cout = 1
time = 228, a = 0100, b = 1110, cin = 0, res = 0010, cout = 1
time = 229, a = 0101, b = 1110, cin = 0, res = 0011, cout = 1
time = 230, a = 0110, b = 1110, cin = 0, res = 0100, cout = 1
time = 231, a = 0111, b = 1110, cin = 0, res = 0101, cout = 1
time = 232, a = 1000, b = 1110, cin = 0, res = 0110, cout = 1
time = 233, a = 1001, b = 1110, cin = 0, res = 0111, cout = 1
time = 234, a = 1010, b = 1110, cin = 0, res = 1000, cout = 1
time = 235, a = 1011, b = 1110, cin = 0, res = 1001, cout = 1
time = 236, a = 1100, b = 1110, cin = 0, res = 1010, cout = 1
time = 237, a = 1101, b = 1110, cin = 0, res = 1011, cout = 1
time = 238, a = 1110, b = 1110, cin = 0, res = 1100, cout = 1
time = 239, a = 1111, b = 1110, cin = 0, res = 1101, cout = 1
time = 240, a = 0000, b = 1111, cin = 0, res = 1111, cout = 0
time = 241, a = 0001, b = 1111, cin = 0, res = 0000, cout = 1
time = 242, a = 0010, b = 1111, cin = 0, res = 0001, cout = 1
time = 243, a = 0011, b = 1111, cin = 0, res = 0010, cout = 1
time = 244, a = 0100, b = 1111, cin = 0, res = 0011, cout = 1
time = 245, a = 0101, b = 1111, cin = 0, res = 0100, cout = 1
time = 246, a = 0110, b = 1111, cin = 0, res = 0101, cout = 1
time = 247, a = 0111, b = 1111, cin = 0, res = 0110, cout = 1
time = 248, a = 1000, b = 1111, cin = 0, res = 0111, cout = 1
time = 249, a = 1001, b = 1111, cin = 0, res = 1000, cout = 1
time = 250, a = 1010, b = 1111, cin = 0, res = 1001, cout = 1
time = 251, a = 1011, b = 1111, cin = 0, res = 1010, cout = 1
time = 252, a = 1100, b = 1111, cin = 0, res = 1011, cout = 1
time = 253, a = 1101, b = 1111, cin = 0, res = 1100, cout = 1
time = 254, a = 1110, b = 1111, cin = 0, res = 1101, cout = 1
time = 255, a = 1111, b = 1111, cin = 0, res = 1110, cout = 1
time = 256, a = 0000, b = 0000, cin = 0, res = 0000, cout = 0
time = 257, a = 0001, b = 0000, cin = 0, res = 0001, cout = 0
time = 258, a = 0010, b = 0000, cin = 0, res = 0010, cout = 0
time = 259, a = 0011, b = 0000, cin = 0, res = 0011, cout = 0
time = 260, a = 0100, b = 0000, cin = 0, res = 0100, cout = 0
time = 261, a = 0101, b = 0000, cin = 0, res = 0101, cout = 0
time = 262, a = 0110, b = 0000, cin = 0, res = 0110, cout = 0
time = 263, a = 0111, b = 0000, cin = 0, res = 0111, cout = 0
time = 264, a = 1000, b = 0000, cin = 0, res = 1000, cout = 0
time = 265, a = 1001, b = 0000, cin = 0, res = 1001, cout = 0
time = 266, a = 1010, b = 0000, cin = 0, res = 1010, cout = 0
time = 267, a = 1011, b = 0000, cin = 0, res = 1011, cout = 0
time = 268, a = 1100, b = 0000, cin = 0, res = 1100, cout = 0
time = 269, a = 1101, b = 0000, cin = 0, res = 1101, cout = 0
time = 270, a = 1110, b = 0000, cin = 0, res = 1110, cout = 0
time = 271, a = 1111, b = 0000, cin = 0, res = 1111, cout = 0
time = 272, a = 0000, b = 0001, cin = 0, res = 0001, cout = 0
time = 273, a = 0001, b = 0001, cin = 0, res = 0010, cout = 0
time = 274, a = 0010, b = 0001, cin = 0, res = 0011, cout = 0
time = 275, a = 0011, b = 0001, cin = 0, res = 0100, cout = 0
time = 276, a = 0100, b = 0001, cin = 0, res = 0101, cout = 0
time = 277, a = 0101, b = 0001, cin = 0, res = 0110, cout = 0
time = 278, a = 0110, b = 0001, cin = 0, res = 0111, cout = 0
time = 279, a = 0111, b = 0001, cin = 0, res = 1000, cout = 0
time = 280, a = 1000, b = 0001, cin = 0, res = 1001, cout = 0
time = 281, a = 1001, b = 0001, cin = 0, res = 1010, cout = 0
time = 282, a = 1010, b = 0001, cin = 0, res = 1011, cout = 0
time = 283, a = 1011, b = 0001, cin = 0, res = 1100, cout = 0
time = 284, a = 1100, b = 0001, cin = 0, res = 1101, cout = 0
time = 285, a = 1101, b = 0001, cin = 0, res = 1110, cout = 0
time = 286, a = 1110, b = 0001, cin = 0, res = 1111, cout = 0
time = 287, a = 1111, b = 0001, cin = 0, res = 0000, cout = 1
time = 288, a = 0000, b = 0010, cin = 0, res = 0010, cout = 0
time = 289, a = 0001, b = 0010, cin = 0, res = 0011, cout = 0
time = 290, a = 0010, b = 0010, cin = 0, res = 0100, cout = 0
time = 291, a = 0011, b = 0010, cin = 0, res = 0101, cout = 0
time = 292, a = 0100, b = 0010, cin = 0, res = 0110, cout = 0
time = 293, a = 0101, b = 0010, cin = 0, res = 0111, cout = 0
time = 294, a = 0110, b = 0010, cin = 0, res = 1000, cout = 0
time = 295, a = 0111, b = 0010, cin = 0, res = 1001, cout = 0
time = 296, a = 1000, b = 0010, cin = 0, res = 1010, cout = 0
time = 297, a = 1001, b = 0010, cin = 0, res = 1011, cout = 0
time = 298, a = 1010, b = 0010, cin = 0, res = 1100, cout = 0
time = 299, a = 1011, b = 0010, cin = 0, res = 1101, cout = 0
time = 300, a = 1100, b = 0010, cin = 0, res = 1110, cout = 0
